2025-11-25 20:08:04,264 INFO tank_pi: Resetting local DB/state for debug replay
2025-11-25 20:08:04,723 INFO tank_pi: Remote server datastore reset via https://mattsmaplesyrup.com/sugar_house_monitor/api/reset.php (attempt 1)
2025-11-25 20:08:05,195 INFO tank_pi: Server reset response: ok
2025-11-25 20:08:05,197 INFO tank_pi: Serving /home/releaser/sugar_house_monitor/web at http://0.0.0.0:8080/
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
2025-11-25 20:08:06,445 INFO tank_pi: Started brookside tank controller (pid=25810)
/home/releaser/sugar_house_monitor/scripts/tank_vol_fcns.py:617: FutureWarning: The behavior of DataFrame concatenation with empty or all-NA entries is deprecated. In a future version, this will no longer exclude empty or all-NA columns when determining the result dtypes. To retain the old behavior, exclude the relevant entries before the concat operation.
  self.history_df = pd.concat([self.history_df, pd.DataFrame([row])], ignore_index=True)
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
2025-11-25 20:08:06,951 INFO tank_pi: Started roadside tank controller (pid=25869)
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:06] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
2025-11-25 20:08:07,161 INFO tank_pi: Started LCD process (pid=25979)
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
2025-11-25 20:08:07,170 INFO tank_pi: Starting pump debug replay at 2025-04-04 11:09:17+00:00 (x10.0)
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
2025-11-25 20:08:07,188 INFO tank_pi: Tank sample brookside @ 2025-04-04T11:00:12.810780+00:00 volume=1294.01 gal
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
2025-11-25 20:08:07,216 INFO tank_pi: Tank sample roadside @ 2025-04-04T11:00:13.270185+00:00 volume=381.97 gal
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_pump.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_vacuum.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_monitor.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/flow_history.php?window_sec=21600 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_evaporator.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /api/evaporator_history.php?window_sec=7200 HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_brookside.json HTTP/1.1" 200 -
192.168.1.135 - - [25/Nov/2025 20:08:07] "GET /data/status_roadside.json HTTP/1.1" 200 -
